[gamma = 1, lr = 0.001]
Lr	Win	Draw	Lose	Elimination
1.00E+0	48	8	44	0
8.33E-1	54	24	22	0
6.94E-1	54	6	40	0
5.79E-1	37	26	37	0
4.82E-1	49	17	34	0
4.02E-1	32	43	25	0
3.35E-1	29	44	27	0
2.79E-1	44	28	28	0
2.33E-1	41	48	11	0
1.94E-1	23	39	38	0
1.62E-1	49	21	30	0
1.35E-1	9	50	41	0
1.12E-1	5	48	47	0
9.35E-2	6	43	51	0
7.79E-2	23	54	23	0
6.49E-2	17	26	57	0
5.41E-2	26	53	21	0
4.51E-2	27	40	33	0
3.76E-2	24	31	45	0
3.13E-2	23	15	62	0
2.61E-2	33	51	16	0
2.17E-2	28	17	55	0
1.81E-2	10	59	31	0
1.51E-2	14	35	51	0
1.26E-2	13	33	54	0
1.05E-2	20	18	62	0
8.74E-3	21	22	57	0
7.28E-3	62	16	22	0
